Movie ID,Movie Name,Release Date,Director,Producer,Genre,Cast,Box Office Collection (INR),Production Budget (INR),Rating,Duration (Min),Language,Awards Won
M019,Foot,1994-05-08,Andrew Pham,Tina Walker,Adventure,"Samuel Smith, Melissa Silva",2411733131,1132843928,8.4,184,Kannada,47
M020,Arm however,2000-09-29,Sonya Lopez,Rachael Ward,Drama,"Morgan Huynh, Robert Brooks",1312006680,713862219,8.0,111,Punjabi,5
M021,Congress,1975-06-17,Nicole Miller,Mark Kennedy,Sci-Fi,"Nicole Flores, Andrew Diaz",4392934374,1341390060,7.6,115,Bengali,36
M022,Physical government,2018-04-02,Seth Sanders,Elizabeth Arroyo,Thriller,"Diana Alexander, Mary Jimenez",3161427526,1400852469,7.7,127,English,24
M023,Outside marriage,1992-01-09,Linda Cherry,Catherine Brown,Thriller,"Allison Mcintyre, Dawn Maynard",5097855200,856071661,8.5,110,Bengali,17
M024,Chair develop,2019-01-28,George Stewart,Thomas Aguilar,Thriller,"Margaret Maynard, Richard Fernandez",4466901481,566074599,7.4,152,Punjabi,12
M025,Baby music,1987-01-17,William Erickson,Kristi Gonzales,Mystery,"Rachel Mendoza, Kristine Huang",5831266114,913339051,7.0,108,Malayalam,41
M026,East,2022-05-07,Christopher Waller,Eric Daniel,Thriller,"John Kim, Elizabeth Moody",3161880913,1039684532,6.6,168,Bengali,6
M027,Interest,2006-06-18,Gina Carrillo,Jeffrey Bell,Fantasy,"Andrew Savage, Norma Stewart",2963668527,212464077,8.1,182,Hindi,22
M028,Almost,2023-02-28,Gregory Hull,Katherine Rogers,Thriller,"Mrs. Kaitlyn Chaney, Peter Johnson",1226952363,412291965,6.6,198,Hindi,36
M029,Actually born,2009-10-17,Douglas Roberson,Nicole Hill,Fantasy,"Cindy Nelson, Gabriela Sosa",2408231103,1170674283,7.2,148,English,48
M030,There,2010-06-02,Jeffrey Spears,Jeremy Grant,Romance,"Cassandra Weaver, Russell Williams",985532974,564648004,8.2,188,Bengali,40
M031,Something able,1997-03-22,Kayla Ward,Lauren Hanna,Sci-Fi,"Daniel Wade, Charles Myers",3294632996,228823974,5.4,168,Bengali,23
M032,Give,2012-10-20,Christopher Harris,Christina Davenport,Thriller,"Tammy Tucker, Jordan Reid",3800201746,262936293,7.9,126,Telugu,36
M033,Even music,2010-04-10,Emily Martinez,Jeff Clark,Comedy,"Mr. Philip Floyd, Richard Jordan",2901466719,202356719,7.2,145,Bengali,35
M034,Central lawyer,1985-08-22,Ashley Hodge,Jessica Wilson,Drama,"Justin Brown, Austin Bennett",3315111911,575369206,7.8,176,Malayalam,22
M035,Want,1993-11-02,Vincent Hurst,Kathryn Gross,Horror,"Cathy Davis, Timothy Watson",3609181437,1205230080,6.6,131,Marathi,31
M036,Detail choose,2020-08-19,Edward Ramirez,Jennifer King,Action,"Daniel Moss, John Flores",5723968457,1327119142,5.2,106,Telugu,10
M037,Woman bring,2017-08-28,Catherine Lucas,Carl Monroe,Sci-Fi,"Walter Taylor, Nicole Cunningham",5714146162,1089127024,6.2,167,Hindi,27
M038,Me,1990-08-18,Shane Hughes,Jennifer Dixon,Adventure,"Mr. James Lyons, Michael Moss",5669376746,1049675523,6.9,96,Tamil,8
M039,Any alone,2006-02-16,David Hunt,David White,Action,"Maria Lee, Alexander Williams",4651071623,259916133,6.5,172,Kannada,43
M040,Hundred,1987-03-25,Meghan Hutchinson,Jody Ingram,Comedy,"Kathleen Sanders, Perry Garcia",1062589482,208116470,6.1,113,English,29
M041,Organization meet,2017-10-26,Rodney Rowland,Nicholas Bautista,Mystery,"Robert Miller, Jennifer Nguyen",4549946715,612987049,6.1,105,English,25
M042,Financial,1983-11-03,Kimberly Jones,Lisa Morris,Comedy,"Bruce Mccoy, Stacey Nguyen",2272422387,738589113,9.0,103,Tamil,36
M043,Expert,1981-09-30,Adrian James,Belinda Ortiz,Action,"Mrs. Nicole Soto, Lisa Love",2789540005,429224851,7.5,193,Punjabi,23
M044,Community stand,1993-10-05,Daniel Bass,Tina Garza,Horror,"Derrick King, Susan Jackson",2625029278,543452015,6.6,198,Punjabi,38
M045,Now,1984-08-25,David Johnson,Heather Davis,Sci-Fi,"Alexandra Parsons, Jordan Lewis",2812066520,812169114,8.6,158,English,27
M046,Fine beyond,2020-03-01,Michael Davis,Sandra Valdez,Drama,"Vincent French, Brian Sanchez",2579019313,1372730010,7.1,187,Punjabi,11
M047,Sometimes,2002-05-28,Justin Franco,Brenda Roberts,Sci-Fi,"Luke Edwards, Haley Gonzalez",5839990100,1473324082,7.7,95,English,16
M048,Financial sometimes,1992-06-08,Jerry Lara,Donna Campbell,Action,"Marcia Bowman, Albert Martin",4341219441,716522170,8.6,139,English,25
M049,Quickly audience,1984-06-25,Michael Cohen,John Fletcher,Comedy,"Brent Beck, Andrew Olsen",4645988618,1049940924,8.6,179,Bengali,31
M050,One,1995-08-24,Sarah Gregory,Jeffery Berg,Fantasy,"Richard Fox, Troy Carney",4201313194,1425754964,5.2,95,Telugu,31
M051,Rather nation,1981-07-26,Lindsay Nelson,Edward Tran,Horror,"Kenneth Ryan, Katherine Medina",2498629877,212853508,7.9,100,Kannada,33
M052,In,2013-09-11,John Peterson,Kenneth Knight,Fantasy,"Alexander Nunez, Emily Sanders",1751273358,1458971237,8.2,102,Bengali,10
M053,Whether consider,1984-11-04,Andrew Davis,Michael Ross,Sci-Fi,"Lisa Torres, Robert Kelley",1536653446,1134341475,6.4,169,Kannada,37
M054,Experience work,1977-09-25,Ryan Perez,Holly Higgins,Fantasy,"Joseph Evans, Andrea Vang",706329132,1401573377,8.8,135,Malayalam,18
M055,Item majority,1988-05-13,Jonathan Moreno,Dr. Michael Rodgers,Adventure,"Michael Johnson, Laura Hernandez",1318935934,851337993,8.0,186,Malayalam,34
M056,Keep,2002-08-29,Jonathan Powers,Diane Perez,Drama,"Tammy Contreras, Jennifer Rhodes",2916159064,316294404,7.9,100,Gujarati,44
M057,You thing,2004-01-21,James Cherry,Thomas Kemp,Action,"Michael Garrett, Monica Campos",4538465762,844512700,7.3,142,Kannada,39
M058,Chair,2015-06-25,Jennifer Perez,Christie Smith,Mystery,"Diane Mathis, Gregory Williams",2653976727,1377652858,7.8,122,Telugu,16
M059,Claim,2004-10-26,William Graham,Joseph Montes,Mystery,"Brittney Villa, Jennifer Silva",5738634670,903485566,6.5,182,Telugu,15
M060,Away,1981-03-27,Richard Rios,Kristen Cherry,Adventure,"Bonnie Patel, Michael Hayden",5288535362,908744945,5.8,114,Tamil,6
M061,Suffer heavy,1976-06-23,Amanda Holmes,William Herrera,Fantasy,"William Morris, Darren Harvey",5820013771,281422214,6.0,123,Telugu,35
M062,Newspaper,2016-06-27,Isaiah Sullivan,Preston Lopez,Romance,"Jeremiah Hull, Sean Moon",2607819241,991446202,5.9,109,Telugu,43
M063,Investment life,1988-01-01,Michael Walker,Shelly Zavala,Fantasy,"Jill Collins, Matthew Juarez",5561843248,1187717250,8.7,191,Malayalam,48
M064,I first,2017-11-19,Mary Ward,Mrs. Emily Kidd,Fantasy,"Leslie Davis, Linda Jones",514690858,661625775,7.2,162,Gujarati,21
M065,Hand executive,1993-04-02,Timothy Jones,Victoria Randall,Thriller,"Heather Ross, Linda Perry",4829296058,1342164282,7.4,124,Hindi,37
M066,Value Democrat,1987-02-23,Laura Wood,Donna Schmidt,Drama,"Stephanie Velasquez, Theresa Welch",5665000675,1428320450,8.5,188,Tamil,39
M067,Consumer,2019-05-31,Alicia Thornton,Lisa Stone,Drama,"Christine Wheeler, Ms. Karen Reed DVM",4215373249,1186490942,6.3,171,Kannada,6
M068,Eight,1978-01-23,Kristin Evans,Nathan Calderon,Sci-Fi,"Duane Hawkins, Norman Ware",897367187,997166118,5.8,115,Bengali,31
M069,Professor source,2020-03-16,Brianna Soto,Anthony Dudley,Mystery,"Laurie Robinson, Karen Cooper",5547759755,1349048819,8.7,122,Gujarati,49
M070,More unit,2017-08-22,Shawn Cooper,Samantha Gray,Sci-Fi,"Patricia Beltran, Tara Collins",5837199162,1445337675,8.9,156,Marathi,18
M071,Good,1979-03-15,Jacqueline Lopez,Andrew Manning,Adventure,"Karina Carey, Olivia Parks",708098118,693950869,7.6,131,Gujarati,13
M072,Analysis test,2021-05-13,Michael Harrison,Timothy Schmidt,Comedy,"Raymond Lee, Charlotte Taylor",4689989868,1272382246,6.1,166,Malayalam,30
M073,My,1996-01-01,John Greer,Victoria Adams,Adventure,"James Mcdonald, Lauren Morgan",3973770849,1125301440,6.4,110,Hindi,49
M074,Turn daughter,2006-12-19,Tim Lee,Charlotte Johnson,Mystery,"Joe Jones, Melissa Thomas",5534198522,582682937,7.8,199,Kannada,14
M075,Vote,2020-01-19,Victoria Brown,Kenneth Spencer,Adventure,"Dr. Matthew Cameron, Carla Nguyen",769510925,403243058,5.1,98,Kannada,10
M076,Simply impact,2000-05-20,Lynn Lopez,Ronald Miles,Adventure,"Donna Davis, Jonathon Rodriguez",2668785918,290518390,5.6,171,Telugu,42
M077,Mouth,1983-03-21,Elizabeth Miller,Timothy Kirk,Thriller,"Richard Moreno, Elizabeth Williamson",723999965,1032278020,5.5,172,Bengali,40
M078,Ago,2005-09-13,Alexis Cantrell,Mary Salazar,Romance,"Edward Torres, Daniel White",4828924443,741409692,8.2,96,English,49
M079,Record,1983-01-16,Dawn Downs,Christine Harris,Sci-Fi,"Kenneth Stanley, Sara Howard",1652994753,346185097,7.3,94,English,50
M080,Beyond,1980-11-19,Gabriella Rivers,Malik Hines,Horror,"Laura Lyons, Christian Love",1705352570,1286381242,7.9,142,Bengali,25
M081,Single check,1978-01-12,Robert Barber,Shelley Anderson,Comedy,"Jessica Pham, Alexander Garcia",1771805132,415574507,7.8,120,Marathi,48
M082,Away,2013-05-13,Kimberly Mendoza,Erin Morris,Adventure,"Tiffany Diaz, Andrea Davis",1488649648,1403445196,7.6,135,Gujarati,41
M083,Stay,2016-11-13,Cody Montoya,Victor Wood,Mystery,"Donna Townsend, James Reese",3602150674,472229485,5.8,197,English,38
M084,Region politics,2001-02-13,Kyle Fowler,Robert Huang,Sci-Fi,"James Kirk, Christopher Burton",870251674,329370631,8.6,133,Telugu,21
M085,My,1982-08-14,Colleen Jordan,Zachary Clarke,Sci-Fi,"Teresa Roman, Heather Leonard",3817572559,1146136698,5.2,154,Malayalam,17
M086,Trouble box,2021-11-03,Alexandra Baird,Sharon Wright MD,Action,"Jacob Watts, Kenneth Thompson",1283407450,329230948,5.5,161,English,6
M087,Condition trip,2019-05-07,Gary Turner,Emma Smith,Mystery,"Grant Smith, Brandi Clark",2917554788,557511089,5.4,135,Bengali,24
M088,Affect Mr,1989-12-03,Brandon Avery,Katherine Li,Mystery,"Cheryl Yang, Cheryl Rivers",2882266927,229697722,6.2,114,Tamil,16
M089,All event,1975-11-16,Sharon Salinas,Elizabeth Tran,Comedy,"Suzanne Lane, Rhonda Graves",1295681696,411958972,6.1,104,Telugu,48
M090,Themselves suddenly,1992-03-04,Tony Greene,Crystal Obrien,Horror,"William Phillips, Clayton Mcclure",4620855427,203409290,8.3,128,English,27
M091,Candidate,2012-09-02,Robert Moran,Marcus Baldwin,Mystery,"William Davis, Heidi Jenkins",4754704061,1331363011,6.4,170,English,29
M092,Which,1983-01-01,Ethan Cole,Christopher Lee,Drama,"Alicia Mcdonald, Nicole Patterson",884812640,1096620490,9.0,125,Kannada,12
M093,System energy,2010-06-03,Christopher Floyd,Taylor Ballard,Fantasy,"Melissa Carter, Jodi Young",2107336446,1402175419,7.7,105,Hindi,36
M094,Their,2002-11-28,Nathan Schroeder,Rachel Taylor,Adventure,"Christine Medina, Lisa Ellis",2268096508,1117158739,8.4,196,Kannada,10
M095,Sell hope,1998-09-12,Daniel Wilson,Jessica Aguilar,Thriller,"Matthew Fitzgerald, Bonnie Brown",1386999869,1168667402,6.6,113,Malayalam,31
M096,No father,2009-09-29,Deanna Mcdowell,Billy Martinez,Romance,"Jessica Burns, Jennifer Wood",2049258858,1133671456,5.6,95,Hindi,19
M097,War,1995-03-07,Denise Brown,Corey Moreno,Fantasy,"Mrs. Amber Turner, Matthew Kent",4772440893,761999030,8.0,145,Gujarati,9
M098,Family,2006-06-13,Breanna Ramos,Emily Oliver,Fantasy,"Mr. Eric Sellers, Danielle May",512294645,1111734008,8.4,110,Kannada,30
M099,Government,2016-07-12,Kenneth Boyd,Benjamin Mckenzie,Mystery,"Mark Perry, Charles Scott",4655898181,404701556,8.6,164,Gujarati,12
M100,Close,1978-02-16,Perry Martin,Amanda Williams,Action,"Ana Daugherty, Ann Taylor",1620416431,274878505,8.6,143,Hindi,50
M101,Stock economy,1994-05-10,Justin Ryan,Rebecca Ochoa,Thriller,"Vanessa Clark, Rachel Mills",5344022163,1207840169,7.7,139,Tamil,42
M102,Chance big,2001-04-20,Lisa Short,Joshua Bates,Romance,"Eric Perez, Taylor Barnes",2803871902,1065171511,6.9,96,Telugu,48
M103,Wrong,1996-07-15,Shawn Tapia,Taylor Jenkins,Horror,"William Morton, Jacob Banks",2042421623,645746900,6.6,200,Malayalam,16
M104,Data water,2013-10-13,Maria Mcdaniel,Timothy Cortez,Romance,"Jeff Adams, Christopher Hanson",5032799292,1032691132,5.9,131,Bengali,9
M105,Avoid,2000-10-18,Jonathan Bell,Christopher Davidson,Adventure,"Holly Erickson, Michelle Washington",5951670723,1475195094,5.9,93,Gujarati,16
M106,Back factor,1988-03-14,Jeffrey Woodard,Matthew Zamora,Fantasy,"Shawna Cobb, Rachael Johnson",5637282805,1201051053,6.1,122,Marathi,13
M107,Run,2000-03-25,Kevin Patterson,Erica Pittman,Action,"Adrian Morris, Justin Mcneil",3145478393,895595186,5.9,181,English,42
M108,Door,2018-09-12,Jennifer Young,Stephen Stone,Adventure,"Jerry Gilbert, Angela Villa",5525770610,1379993478,5.8,158,Punjabi,28
M109,Myself car,1987-10-26,Tammy Griffith,Jerome Fernandez,Fantasy,"Nicole Warren, Tina Petersen",1718278277,946865726,6.8,99,Marathi,5
M110,Group carry,1979-08-10,Loretta Butler,Alyssa Knight,Adventure,"Barbara Maxwell, Anna Boyle",2926139266,592905843,6.2,189,Punjabi,9
M111,Option,1987-08-09,Matthew Wilkins,Sara Johns,Thriller,"Brian Mills, Elizabeth Rice",853658530,462922814,5.1,140,Punjabi,40
M112,Call,1983-10-06,Stacy Taylor,Edward Figueroa,Thriller,"Steven Stevens, Timothy Kennedy",5960893498,1385401330,8.8,165,Kannada,46
M113,You,2023-06-19,Robert Campbell,Kenneth Singleton,Action,"Jessica Morris, Lisa Munoz",5107085985,1007594858,8.7,146,Gujarati,18
M114,Opportunity by,1996-02-04,Benjamin Duran PhD,Carmen Le,Fantasy,"Elizabeth Reese, Daniel Williams",5396211764,743585407,7.3,154,Marathi,26
M115,Including,1999-10-05,Deborah Watkins,Pamela Williams,Sci-Fi,"Robert Bryant, Gregory Santana",2769709208,707003315,8.4,183,Marathi,46
M116,Road,2010-04-16,Eric Stewart,Brandon Collins,Drama,"Samantha Maldonado DDS, Kayla Wilson",4211429589,300688413,5.9,140,Hindi,45
M117,Garden,2013-01-10,Sharon Vazquez,Wendy Munoz,Comedy,"Melanie Clark, Tyler Hamilton",5258452907,1337748664,7.6,182,Marathi,30
M118,Present,2023-08-29,Kenneth Bell,Kim Ho,Comedy,"Paul Holmes, John Brown",746568172,701361478,5.8,166,Bengali,6
M119,Water,1984-08-20,Lisa Byrd,Ernest Evans,Romance,"Michelle Lee DDS, Gloria Sims",1840962454,729158139,7.6,135,Telugu,29
M120,Open language,2002-01-25,Brittany Brandt,Courtney Phillips,Drama,"Jason Garcia, James Jackson",4149762074,248546084,8.1,164,Gujarati,11
M121,Character,1977-08-03,Brian Warren,Richard Lowe,Sci-Fi,"Darryl Knight, Christine Saunders",1280816382,1349267185,5.8,112,Kannada,20
M122,Environment media,1996-07-20,Catherine Yang,James Hernandez MD,Fantasy,"Teresa Daniels DDS, Brandon Russo",4055280156,433276410,8.1,188,Hindi,11
M123,Stage like,2008-06-15,Elizabeth Norris,Sherry Johnson,Comedy,"Alyssa Green, Savannah Adams",642438497,1231803045,5.1,190,Telugu,24
M124,Science,1994-05-18,Kaitlyn Miller,Antonio Delacruz,Fantasy,"Dawn Mccarthy, Jackie Parker",1688242381,323740343,5.3,187,Tamil,13
M125,Garden,1982-04-27,Nicole Santos,Cody Hanna,Horror,"Randall Gates, Elizabeth Contreras",1629101249,1025057163,5.8,188,English,44
M126,Ball product,2023-02-08,Emily Williamson,Cesar Lopez,Romance,"Michael Mullins, Donna Vega",2281201465,281019223,7.5,117,Malayalam,25
M127,Behavior possible,1977-09-27,Eddie Massey,Kari Smith,Romance,"Kimberly Petersen, Kayla Taylor",2506626331,1321410095,5.3,166,Kannada,44
M128,Property,2021-10-29,Sandra Bradley,Sarah Martinez,Drama,"Chad King, Suzanne Bradley",5916726367,662058723,5.5,118,Punjabi,43
M129,Foot,2018-02-07,Lauren King,Mr. Joshua Reynolds,Romance,"Jason Miller, Andrew Lopez",3400622571,1449548908,5.3,90,Bengali,5
M130,National,1982-03-17,William Boyd,Kevin Scott,Adventure,"Brandon Johnson, Sandra Velasquez",3179163341,891647613,8.6,92,Gujarati,17
M131,Public,2016-02-23,Johnathan Parker,Rebecca Schwartz,Sci-Fi,"Brooke Fields, Dr. Michelle Ortega",4013757850,858964526,5.5,91,Malayalam,24
M132,Space whom,1999-05-27,Terry Shah,Elizabeth Johnson,Romance,"Tina Kelly, Ryan Chapman",3851580101,242794714,5.1,149,English,26
M133,Early table,1988-09-09,Debra Valdez,Scott Kidd Jr.,Mystery,"Amber Floyd, Scott Turner",2092481785,250131680,8.4,173,Gujarati,36
M134,At,1994-08-13,Tina Osborn MD,Zachary Conley,Action,"Jason Mayo, Brandi Morales",5018712014,692634183,8.5,171,English,43
M135,Little condition,2016-12-29,Clarence Potts,Jessica Wilcox,Mystery,"Garrett Edwards, Dalton Hardy",3936463593,555741939,6.5,97,Marathi,30
M136,Success,2015-08-23,Tanya Rubio,Susan Gutierrez,Mystery,"Jordan Medina, Deanna Bradford",1422279871,675855702,7.0,122,Malayalam,39
M137,Mrs cold,2023-07-30,George Norris,Amanda Davis,Adventure,"Chris Brown, Kayla Warren",4819838968,963722157,7.5,95,English,42
M138,Idea even,1984-10-17,David Stokes,Wesley Taylor,Horror,"Greg Vasquez, Mary Moran",5291764620,979350789,7.4,93,Telugu,37
M139,Fact,1984-09-19,Matthew Nielsen,Stacey Allen,Romance,"Diana Ramirez, Cheryl Peterson",3415814747,1449579194,5.1,130,Gujarati,48
M140,Including civil,1975-06-25,Heather Gibson,Brett Crosby,Drama,"Lauren Morris, Jacqueline Martinez",4608154079,223862641,5.2,171,Gujarati,41
M141,Act myself,2024-10-31,Mallory Ray,Gabriella Carter,Horror,"Trevor Kennedy, Wendy Cohen",683501827,634337228,7.4,185,Bengali,8
M142,Animal,2002-01-01,Dawn Olsen,Sherry Davis,Mystery,"Christina Drake, Marc Mcintosh",5828373101,1183744335,7.9,133,Malayalam,32
M143,Over check,1989-11-08,Brett Juarez,John Bentley,Mystery,"Paul Salazar, Margaret Brown",2557953569,1269706219,5.4,144,Kannada,39
M144,Early in,1990-06-08,Gabriel Collier,Stephanie Whitaker,Fantasy,"Justin Rogers, Kenneth Edwards",5907743898,621759888,5.3,136,Telugu,50
M145,Place power,1986-02-24,Kevin Miller,Elizabeth Oneal,Comedy,"Catherine Moore, Aaron Cook",4083878545,515441707,9.0,138,Bengali,49
M146,Affect interesting,2018-02-02,Matthew Dyer Jr.,Lisa Carter,Horror,"David Roberts, Brandon Nguyen",1987403875,1408357683,7.5,135,Malayalam,37
M147,Radio,1976-01-11,Austin Reynolds,Wendy Farmer,Thriller,"Craig Wilson, Jeffrey Cruz",4220596019,436669756,7.8,156,Hindi,32
M148,Image,2018-12-04,Marc Jenkins,Jason Fowler,Romance,"Melissa Duran, Benjamin Blankenship",1638314723,675615329,5.3,145,English,35
M149,Many,2021-02-07,Chad Arnold,Jose West,Action,"Kelly Williams, Daniel Hall",3212345253,1236598257,5.3,166,Punjabi,22
M150,Bit meeting,2000-11-20,Jessica Park,Hannah Ramos,Romance,"Kenneth Wade, Kelly Krueger",4448832226,428412054,7.0,155,Malayalam,13
M151,Adult house,2020-09-22,Bryan Schneider,Joann Sweeney,Horror,"Heather Perry, Sandra Carter",2759412712,1376091544,6.3,153,Malayalam,42
M152,Land,2007-10-21,Barbara Foster,Ashley Ayers,Mystery,"Tiffany Miller, John Williams",3004964234,1011260085,6.0,172,Tamil,11
M153,Here along,1980-01-18,Calvin Nielsen,Andrea Reese,Drama,"Hannah Morton, Lori Brown",5069621731,1079001732,5.8,138,Marathi,14
M154,Sister,1984-11-09,Andrew Barrera,Gwendolyn Baldwin,Drama,"Tyler Stewart, Roger Monroe",579011350,252313654,8.4,125,Tamil,48
M155,Color certainly,1994-02-27,Stephanie Page,Thomas Green,Comedy,"Amber Martinez, Daniel Scott",4404057566,1158374560,7.9,99,Telugu,6
M156,Like,2003-03-17,Eric Pitts,James Hawkins,Comedy,"Ryan Wells, Bradley Beck",3900972298,340533788,6.3,125,English,19
M157,Officer,2005-11-10,Heather Mcclure,Marcus Watts,Fantasy,"Rachel Rosales, Laura Atkinson",5476826461,229090577,8.1,157,English,28
M158,Drive the,1995-06-22,Alan Rodriguez,Robert Armstrong,Action,"Dale Mccullough, Linda Gonzales",4651895042,216201646,5.5,97,Gujarati,41
M159,Too understand,2019-07-25,Mariah Hernandez,Ian Evans,Mystery,"Rebecca Franklin, Laura Vazquez",556452948,1127356898,5.2,134,Telugu,6
M160,Against true,2013-03-08,Alexis Rhodes,Mario Anderson,Romance,"Steven Smith, Andrea Daniels",5460203641,1313487247,7.7,140,Malayalam,5
M161,Present,2011-02-08,Rebecca Hernandez,Denise Pratt,Sci-Fi,"Jennifer Taylor, Amber Reed",2137186196,1287268145,6.7,124,Bengali,43
M162,Third fish,1988-08-07,Brian Kennedy,Michele Robertson,Drama,"Kathleen Roberts, Christopher Arias",4018050601,1319688137,8.5,128,Hindi,39
M163,Letter machine,2021-07-09,Michael Smith,Mark Bruce,Sci-Fi,"Maria Freeman, April Dominguez",4370528638,612242818,7.4,194,Gujarati,6
M164,Ever,2011-12-26,Brian Yu,Eric Weiss,Adventure,"Frank Richard, Michelle Brown",1187900266,1470079279,7.6,122,Hindi,32
M165,Job,1986-01-15,Jodi Hayes,Tammy Wilson,Mystery,"Jane Foster, Rhonda Miller",3405391472,884203981,6.7,103,Bengali,48
M166,Outside still,2022-06-03,Antonio Lyons,Jenna Phillips,Horror,"Adam Walker, Matthew Anderson",4971672067,471993512,7.6,103,Hindi,9
M167,Gas,1977-11-18,Edward Dalton,Heather Diaz,Mystery,"Kathleen Vance, Kelly Trevino",3747378128,696509329,7.7,142,Bengali,42
M168,Reach former,2024-03-24,Sharon Hunt,Wendy Cruz,Adventure,"Jessica Ross, Rachel Alvarez",4520801573,1345676441,7.3,168,Marathi,25
M169,Around,1991-03-25,Jennifer Bender,Amy Rivera,Adventure,"Amy Jackson, Thomas Hunter",4864798670,1162383925,7.2,95,Marathi,21
M170,Weight,2006-02-04,Christina Downs,Valerie Miller,Fantasy,"Jennifer Peterson, Alison Parks",5138197999,645063487,7.0,166,Tamil,47
M171,Blood majority,1998-10-01,Kristi Rivera,Kyle Freeman,Sci-Fi,"Tanya Bishop, Rachel Decker",3596256464,372615828,7.7,164,Gujarati,27
M172,Ahead,2003-11-12,Nancy Ramirez,Edward Sullivan,Romance,"Gabriela Norris, Richard Copeland",4745339858,281325354,7.6,159,Punjabi,12
M173,Quite art,2013-04-19,Dominic Wilson,Anita Kemp,Action,"Elizabeth Smith, Aaron Sanchez",4173099576,270429399,8.7,138,English,11
M174,Watch hard,1992-01-20,Andrew Mcdonald,Lori Pham,Horror,"Thomas Reyes, Andrew Potts",4990924371,484545659,8.5,147,Gujarati,25
M175,Draw simple,2017-07-08,Scott Frazier,Terry Everett,Comedy,"Lori Rogers, Tyler Yoder",4849464770,383439944,7.9,141,Telugu,33
M176,Various house,1999-08-17,Megan Franco,Catherine Rowe,Comedy,"Christopher Bell, Benjamin Miller",2073609908,1180648710,8.9,159,Kannada,26
M177,Wish help,2021-08-11,Philip Newton,Lori Luna,Action,"Donna Myers, Elizabeth Hensley",1535280032,388445299,7.3,139,Gujarati,5
M178,Win sea,1985-05-08,Olivia Shea,Mason Foster,Sci-Fi,"Natalie Werner, Terry Stanley",4115947722,394208102,5.3,115,Bengali,31
M179,Control,1986-03-28,John Ortiz,David Snyder,Romance,"Ashlee Thornton, Stephanie Black",5376131816,1329608988,6.8,166,Telugu,48
M180,School,2015-03-01,Rick Mathews,Roy Mendez,Horror,"Sharon Espinoza, Paul Lambert",5198859270,559475179,7.9,193,Marathi,15
